iter	Passed	Remaining
296	1603	3795
297	1608	3789
298	1613	3783
299	1618	3776
300	1623	3770
301	1628	3764
302	1633	3758
303	1639	3752
304	1645	3749
305	1650	3744
306	1656	3739
307	1662	3734
308	1668	3732
309	1675	3729
310	1681	3725
311	1689	3725
312	1695	3722
313	1701	3718
314	1708	3714
315	1713	3709
316	1720	3706
317	1726	3702
318	1732	3698
319	1738	3694
320	1745	3691
321	1750	3686
322	1757	3683
323	1763	3678
324	1769	3674
325	1775	3670
326	1781	3665
327	1787	3661
328	1793	3657
329	1799	3652
330	1806	3650
331	1812	3646
332	1818	3641
333	1824	3637
334	1829	3632
335	1836	3628
336	1842	3624
337	1847	3619
338	1853	3613
339	1858	3607
340	1864	3602
341	1869	3597
342	1875	3592
343	1880	3586
344	1886	3581
345	1891	3575
346	1896	3569
347	1902	3564
348	1908	3559
349	1914	3554
350	1920	3550
351	1925	3544
352	1930	3538
353	1936	3533
354	1942	3528
355	1947	3523
356	1953	3518
357	1958	3512
358	1963	3506
359	1969	3500
360	1974	3495
361	1979	3489
362	1985	3484
363	1990	3478
364	1996	3472
365	2001	3466
366	2006	3460
367	2012	3455
368	2017	3450
369	2023	3445
370	2029	3440
371	2034	3435
372	2040	3429
373	2045	3423
374	2051	3419
375	2056	3413
376	2061	3407
377	2067	3402
378	2072	3396
379	2078	3390
380	2083	3385
381	2089	3379
382	2094	3374
383	2100	3369
384	2105	3364
385	2111	3358
386	2117	3353
387	2122	3347
388	2127	3342
389	2133	3336
390	2138	3330
391	2143	3325
392	2149	3319
393	2159	3321
394	2167	3319
395	2175	3318
396	2183	3316
397	2189	3311
398	2196	3308
399	2203	3305
400	2211	3303
401	2218	3300
402	2225	3296
403	2232	3293
404	2239	3289
405	2246	3286
406	2253	3283
407	2261	3281
408	2268	3277
409	2275	3274
410	2282	3271
411	2289	3268
412	2297	3265
413	2304	3261
414	2312	3259
415	2319	3256
416	2326	3252
417	2331	3246
418	2337	3241
419	2343	3236
420	2348	3230
421	2354	3224
422	2359	3219
423	2365	3213
424	2370	3207
425	2376	3201
426	2381	3196
427	2387	3190
428	2392	3184
429	2398	3179
430	2403	3173
431	2409	3167
432	2414	3162
433	2420	3156
434	2429	3155
435	2435	3150
436	2441	3145
437	2446	3139
438	2452	3133
439	2457	3128
440	2463	3122
441	2468	3116
442	2475	3112
443	2480	3106
444	2486	3101
445	2492	3095
446	2497	3089
447	2502	3083
448	2508	3077
449	2513	3072
450	2519	3066
451	2524	3060
452	2529	3054
453	2535	3049
454	2541	3043
455	2546	3038
456	2552	3032
457	2557	3026
458	2562	3020
459	2567	3013
460	2572	3008
461	2577	3001
462	2583	2995
463	2588	2990
464	2593	2984
465	2598	2978
466	2604	2972
467	2609	2965
468	2614	2960
469	2620	2954
470	2625	2948
471	2630	2942
472	2636	2937
473	2646	2936
474	2652	2931
475	2658	2926
476	2664	2921
477	2670	2916
478	2676	2910
479	2681	2905
480	2688	2900
481	2694	2895
482	2700	2890
483	2706	2885
484	2711	2879
485	2718	2874
486	2724	2869
487	2730	2864
488	2736	2859
489	2742	2854
490	2748	2849
491	2754	2843
492	2759	2838
493	2766	2833
494	2771	2827
495	2778	2822
496	2784	2818
497	2790	2812
498	2796	2807
499	2802	2802
500	2808	2797
501	2814	2791
502	2819	2785
503	2824	2779
504	2830	2774
505	2835	2768
506	2841	2762
507	2847	2757
508	2852	2751
509	2857	2745
510	2863	2740
511	2869	2734
512	2874	2728
513	2880	2723
514	2886	2718
515	2891	2712
516	2897	2707
517	2903	2701
518	2908	2695
519	2913	2689
520	2919	2684
521	2924	2678
522	2930	2672
523	2935	2666
524	2941	2661
525	2950	2659
526	2956	2653
527	2962	2648
528	2967	2642
529	2973	2637
530	2979	2631
531	2985	2626
532	2991	2620
533	2996	2615
534	3002	2609
535	3007	2603
536	3013	2598
537	3018	2592
538	3024	2587
539	3030	2581
540	3035	2575
541	3040	2569
542	3046	2563
543	3051	2557
544	3056	2551
545	3061	2545
546	3066	2539
547	3071	2533
548	3077	2527
549	3082	2521
550	3087	2515
551	3092	2510
552	3098	2504
553	3103	2498
554	3109	2493
555	3115	2487
556	3121	2482
557	3126	2476
558	3133	2472
559	3140	2467
560	3146	2462
561	3153	2457
562	3160	2453
563	3167	2448
564	3175	2444
565	3181	2439
566	3192	2437
567	3199	2433
568	3206	2428
569	3214	2424
570	3223	2421
571	3230	2416
572	3237	2412
573	3244	2407
574	3252	2403
575	3259	2399
576	3266	2394
577	3274	2390
578	3281	2385
579	3289	2382
580	3296	2377
581	3304	2373
582	3310	2367
583	3317	2362
584	3323	2357
585	3328	2351
586	3334	2346
587	3339	2340
588	3345	2334
589	3350	2328
590	3355	2322
591	3361	2316
592	3366	2310
593	3372	2305
594	3378	2299
595	3383	2293
596	3388	2287
597	3403	2287
598	3408	2281
599	3414	2276
600	3419	2270
601	3425	2264
602	3430	2258
603	3435	2252
604	3441	2246
605	3446	2240
606	3452	2235
607	3457	2229
608	3463	2223
609	3469	2218
610	3475	2212
611	3484	2208
612	3489	2203
613	3495	2197
614	3500	2191
615	3506	2185
616	3511	2179
617	3516	2173
618	3523	2168
619	3528	2162
620	3534	2156
621	3539	2151
622	3545	2145
623	3551	2139
624	3556	2134
625	3562	2128
626	3567	2122
627	3573	2116
628	3579	2111
629	3585	2105
630	3590	2099
631	3596	2094
632	3601	2088
633	3606	2082
634	3612	2076
635	3619	2071
636	3625	2066
637	3631	2060
638	3637	2055
639	3644	2050
640	3650	2044
641	3656	2038
642	3662	2033
643	3668	2027
644	3674	2022
645	3680	2016
646	3686	2011
647	3692	2005
648	3698	2000
649	3703	1994
650	3709	1988
651	3715	1983
652	3721	1977
653	3732	1974
654	3745	1972
655	3752	1967
656	3759	1962
657	3766	1957
658	3773	1952
659	3779	1947
660	3785	1941
661	3791	1935
662	3797	1930
663	3802	1924
664	3808	1918
665	3813	1912
666	3819	1906
667	3824	1900
668	3829	1894
669	3835	1889
670	3841	1883
671	3846	1877
672	3852	1871
673	3857	1865
674	3863	1860
675	3868	1854
676	3874	1848
677	3879	1842
678	3884	1836
679	3890	1830
680	3895	1824
681	3901	1819
682	3906	1813
683	3912	1807
684	3917	1801
685	3923	1795
686	3928	1789
687	3933	1783
688	3939	1778
689	3944	1772
690	3950	1766
691	3955	1760
692	3961	1754
693	3967	1749
694	3972	1743
695	3978	1737
696	3983	1731
697	3991	1726
698	3997	1721
699	4003	1715
700	4009	1710
701	4014	1704
702	4019	1698
703	4025	1692
704	4031	1686
705	4037	1681
706	4043	1675
707	4049	1670
708	4054	1664
709	4060	1658
710	4065	1652
711	4070	1646
712	4075	1640
713	4080	1634
714	4086	1628
715	4091	1622
716	4096	1616
717	4101	1610
718	4109	1605
719	4115	1600
720	4121	1594
721	4126	1589
722	4133	1583
723	4139	1577
724	4145	1572
725	4152	1567
726	4159	1561
727	4166	1556
728	4172	1551
729	4179	1545
730	4185	1540
731	4191	1534
732	4198	1529
733	4205	1523
734	4211	1518
735	4217	1512
736	4224	1507
737	4231	1502
738	4238	1496
739	4245	1491
740	4256	1487
741	4265	1483
742	4272	1477
743	4278	1472
744	4285	1466
745	4291	1461
746	4297	1455
747	4302	1449
748	4305	1442
749	4311	1437
750	4316	1431
751	4322	1425
752	4327	1419
753	4333	1413
754	4338	1407
755	4344	1402
756	4349	1396
757	4355	1390
758	4360	1384
759	4366	1378
760	4371	1372
761	4376	1367
762	4382	1361
763	4388	1355
764	4393	1349
765	4398	1343
766	4404	1337
767	4409	1332
768	4414	1326
769	4420	1320
770	4425	1314
771	4432	1309
772	4437	1303
773	4443	1297
774	4448	1291
775	4454	1285
776	4459	1280
777	4465	1274
778	4470	1268
779	4476	1262
780	4481	1256
781	4487	1250
782	4492	1245
783	4497	1239
784	4503	1233
785	4511	1228
786	4517	1222
787	4523	1216
788	4528	1211
789	4534	1205
790	4540	1199
791	4545	1193
792	4550	1187
793	4556	1182
794	4561	1176
795	4567	1170
796	4573	1164
797	4578	1158
798	4583	1153
799	4589	1147
800	4595	1141
801	4601	1135
802	4607	1130
803	4613	1124
804	4619	1119
805	4625	1113
806	4632	1107
807	4637	1102
808	4643	1096
809	4649	1090
810	4654	1084
811	4660	1079
812	4666	1073
813	4672	1067
814	4678	1061
815	4683	1056
816	4689	1050
817	4695	1044
818	4701	1039
819	4707	1033
820	4714	1027
821	4720	1022
822	4726	1016
823	4731	1010
824	4738	1005
825	4743	999
826	4749	993
827	4756	987
828	4762	982
829	4767	976
830	4773	970
831	4779	964
832	4784	959
833	4790	953
834	4795	947
835	4801	941
836	4807	936
837	4812	930
838	4817	924
839	4823	918
840	4828	912
841	4834	907
842	4839	901
843	4844	895
844	4850	889
845	4856	883
846	4861	878
847	4866	872
848	4872	866
849	4877	860
850	4883	855
851	4888	849
852	4894	843
853	4899	837
854	4905	831
855	4910	826
856	4916	820
857	4922	814
858	4927	808
859	4933	803
860	4938	797
861	4944	791
862	4950	785
863	4955	780
864	4960	774
865	4967	768
866	4972	762
867	4977	757
868	4983	751
869	4988	745
870	4993	739
871	4999	733
872	5004	728
873	5010	722
874	5016	716
875	5021	710
876	5027	705
877	5034	699
878	5039	693
879	5046	688
880	5052	682
881	5058	676
882	5063	670
883	5069	665
884	5074	659
885	5085	654
886	5092	648
887	5099	643
888	5105	637
889	5112	631
890	5118	626
891	5125	620
892	5131	614
893	5138	609
894	5144	603
895	5148	597
896	5155	591
897	5162	586
898	5169	580
899	5177	575
900	5183	569
901	5191	564
902	5198	558
903	5205	552
904	5212	547
905	5219	541
906	5226	535
907	5233	530
908	5240	524
909	5247	519
910	5253	513
911	5260	507
912	5266	501
913	5272	496
914	5278	490
915	5283	484
916	5289	478
917	5296	473
918	5302	467
919	5308	461
920	5313	455
921	5319	449
922	5324	444
923	5330	438
924	5335	432
925	5341	426
926	5346	421
927	5351	415
928	5357	409
929	5362	403
930	5368	397
931	5373	392
932	5379	386
933	5384	380
934	5390	374
935	5395	368
936	5401	363
937	5407	357
938	5413	351
939	5418	345
940	5424	340
941	5429	334
942	5435	328
943	5441	322
944	5446	316
945	5451	311
946	5457	305
947	5463	299
948	5468	293
949	5474	288
950	5479	282
951	5485	276
952	5491	270
953	5496	265
954	5502	259
955	5508	253
956	5513	247
957	5519	241
958	5525	236
959	5530	230
960	5536	224
961	5542	218
962	5547	213
963	5553	207
964	5558	201
965	5564	195
966	5570	190
967	5576	184
968	5582	178
969	5588	172
970	5594	167
971	5600	161
972	5606	155
973	5612	149
974	5618	144
975	5624	138
976	5630	132
977	5636	126
978	5642	121
979	5648	115
980	5654	109
981	5659	103
982	5666	97
983	5671	92
984	5677	86
985	5684	80
986	5689	74
987	5695	69
988	5701	63
989	5707	57
990	5713	51
991	5719	46
992	5725	40
993	5731	34
994	5737	28
995	5744	23
996	5750	17
997	5756	11
998	5762	5
999	5768	0
